file	violations	top_rules
docs/implementation/VELOCITY_20250831-011326.md	1	personal_identifiers
docs/implementation/phase6c_handoff.md	1	todo_fixme
docs/label_mapping.md	1	internal_phase_refs
docs/phase7f/GRANT_SUMMARY.md	1	internal_phase_refs
docs/phase7f/orchestrator/PARALLEL.md	1	internal_phase_refs
docs/phase7f/orchestrator/README.md	1	internal_phase_refs
docs/phase7f/perf/README.md	1	internal_phase_refs
docs/phase7f/plans/README.md	1	internal_phase_refs
docs/phase7f/plans/neo4j_indexes.cql	1	internal_phase_refs
docs/phase7f/revocation/COMMIT.md	1	internal_phase_refs
docs/phase7f/revocation/README.md	1	internal_phase_refs
docs/phase7g/ARCH_SUMMARY.md	1	internal_phase_refs
docs/phase7g/CONFIG.md	1	internal_phase_refs
docs/phase7g/MERGE_PLAN.md	1	internal_phase_refs
docs/phase7g/PURE_PLAN.md	1	internal_phase_refs
docs/phase7g/RECEIPTS_INDEX.md	1	internal_phase_refs
docs/phase7g/REVIEW_CHECKLIST.md	1	internal_phase_refs
docs/phase7g/REVIEW_PACKET.md	1	internal_phase_refs
docs/phase7g/RE_E1_MILESTONE.md	1	internal_phase_refs
docs/phase7h/RECEIPTS_INDEX.md	1	internal_phase_refs
docs/phase7i/ACCEPTANCE_REPORT.md	1	internal_phase_refs
docs/phase7i/BRANCH_DISPOSITION.txt	1	internal_phase_refs
docs/phase7i/DATASETS.txt	1	internal_phase_refs
docs/phase7i/EVAL_GUIDE.txt	1	internal_phase_refs
docs/phase7i/PR_CLOSEOUT_CHECKLIST.md	1	internal_phase_refs
docs/phase7i/RECEIPTS_INDEX.md	1	internal_phase_refs
docs/phase7i/RUNNERS_SETUP.txt	1	internal_phase_refs
docs/phase7s/COLLAB_INVITE.md	1	internal_phase_refs
docs/phase7s/COLLAB_INVITE_EMAIL.txt	1	internal_phase_refs
docs/phase7s/COMMUNITY_VALIDATION.md	1	internal_phase_refs
docs/phase7s/G2_NATIVE_UBUNTU_GATE.md	1	internal_phase_refs
docs/phase7s/GRANT_SUBMISSION_README.md	1	internal_phase_refs
docs/phase7s/INDEX.md	1	internal_phase_refs
docs/phase7s/REVIEW_HANDOFF.md	1	internal_phase_refs
docs/phase8/TODO_EVALUATORS.md	1	todo_fixme
docs/phase8/TODO_LOADERS.md	1	todo_fixme
docs/policy/constitution.json	1	secrets_like
docs/positioning/phase7d_competitive_positioning.md	1	internal_phase_refs
docs/runbooks/ingest_validate.md	1	secrets_like
docs/scoreboards/phase7i/README.txt	1	internal_phase_refs
docs/scoreboards/phase7i/comparison_20250909-182724.md	1	internal_phase_refs
docs/scoreboards/phase7i/summary_20250909-181414.md	1	internal_phase_refs
